"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"33941","doc4465","apanthropic aspiring fullstack developer","developer","NOUN","Profession",1027,NA,"FOX"
"33946","doc4467","son soil","soil","NOUN","Profession",1628,NA,"FOX"
"33953","doc4469","worst part sad knowing makes happy anymore","happy","ADJ","Personality",386,NA,"FOX"
"33956","doc447","home inspector windermere florida surrounding areas","inspector","NOUN","Profession",658,NA,"FOX"
"33967","doc4470","lover jesus luke crocs goats <U+393C><U+3E35>","jesus","NOUN","Religion",252,NA,"FOX"
"33977","doc4471","professional subtitle editormovie music videoscomedy information emailsirmikegmailcom","professional","ADJ","Profession",2260,NA,"FOX"
"33980","doc4471","professional subtitle editormovie music videoscomedy information emailsirmikegmailcom","music","NOUN","Hobbies",2260,NA,"FOX"
"33982","doc4471","professional subtitle editormovie music videoscomedy information emailsirmikegmailcom","information","NOUN","Profession",2260,NA,"FOX"
"34015","doc4476","im colt proudfather christian host story time youtube channel kidd outdoors trump maga thesouth countrylife nra mossyoak","christian","ADJ","Religion",547,NA,"FOX"
"34029","doc4477","product manager loves innovation technology can<U+393C><U+3E32>t stop surprise intelligence humanity","product","NOUN","Profession",387,NA,"FOX"
"34030","doc4477","product manager loves innovation technology can<U+393C><U+3E32>t stop surprise intelligence humanity","manager","NOUN","Profession",387,NA,"FOX"
"34033","doc4477","product manager loves innovation technology can<U+393C><U+3E32>t stop surprise intelligence humanity","technology","NOUN","Profession",387,NA,"FOX"
"34034","doc4477","product manager loves innovation technology can<U+393C><U+3E32>t stop surprise intelligence humanity","ca","AUX","Organization",387,NA,"FOX"
"34052","doc4479","married best friend years proud mother marine vet now deputy sheriff","married","VERB","Personality",2041,NA,"FOX"
"34056","doc4479","married best friend years proud mother marine vet now deputy sheriff","proud","ADJ","Personality",2041,NA,"FOX"
"34058","doc4479","married best friend years proud mother marine vet now deputy sheriff","marine","NOUN","Profession",2041,NA,"FOX"
"34064","doc448","head sales business development virtual support working generate increase number leads sales team","sales","NOUN","Profession",839,NA,"FOX"
"34065","doc448","head sales business development virtual support working generate increase number leads sales team","business","NOUN","Profession",839,NA,"FOX"
"34066","doc448","head sales business development virtual support working generate increase number leads sales team","development","NOUN","Profession",839,NA,"FOX"
"34068","doc448","head sales business development virtual support working generate increase number leads sales team","support","NOUN","Profession",839,NA,"FOX"
"34074","doc448","head sales business development virtual support working generate increase number leads sales team","sales","NOUN","Profession",839,NA,"FOX"
"34090","doc4481","m just like everyone else twittera human searching validation human beings","validation","NOUN","Profession",266,NA,"FOX"
"34093","doc4482","crazy beingufeufe lover musicufbufb game lover ufaeufae web developer","crazy","ADJ","Personality",341,NA,"FOX"
"34097","doc4482","crazy beingufeufe lover musicufbufb game lover ufaeufae web developer","game","NOUN","Profession",341,NA,"FOX"
"34100","doc4482","crazy beingufeufe lover musicufbufb game lover ufaeufae web developer","web","NOUN","Profession",341,NA,"FOX"
"34101","doc4482","crazy beingufeufe lover musicufbufb game lover ufaeufae web developer","developer","NOUN","Profession",341,NA,"FOX"
"34117","doc4484","prophetic holy spirit ministry conservative politics uffuffeuufefuffauff","politics","NOUN","Hobbies",1439,NA,"FOX"
"34122","doc4486","dialysis patient needs kidney transplant use cbd wonders try httpstcokxyxsrma","patient","NOUN","Personality",782,NA,"FOX"
"34135","doc4487","shakespearean tragedy lowkey love food uuuuffuffc","food","NOUN","Profession",525,NA,"FOX"
