"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"513","doc105","love sailor moon dr arrow video games dc marvel dark shadows penny dreadful true blood","video","NOUN","Profession",1105,NA,"CNN"
"514","doc105","love sailor moon dr arrow video games dc marvel dark shadows penny dreadful true blood","games","NOUN","Hobbies",1105,NA,"CNN"
"527","doc1050","mother wife daughter friend teacher sister aunt cousinbusy","teacher","NOUN","Profession",1052,NA,"CNN"
"532","doc1051","learn blogging affiliate marketing seo make money online wordpress blogspot email marketing social media marketing codings hindi","blogging","VERB","Hobbies",343,NA,"CNN"
"534","doc1051","learn blogging affiliate marketing seo make money online wordpress blogspot email marketing social media marketing codings hindi","marketing","NOUN","Profession",343,NA,"CNN"
"542","doc1051","learn blogging affiliate marketing seo make money online wordpress blogspot email marketing social media marketing codings hindi","marketing","VERB","Profession",343,NA,"CNN"
"543","doc1051","learn blogging affiliate marketing seo make money online wordpress blogspot email marketing social media marketing codings hindi","social","ADJ","Profession",343,NA,"CNN"
"544","doc1051","learn blogging affiliate marketing seo make money online wordpress blogspot email marketing social media marketing codings hindi","media","NOUN","Profession",343,NA,"CNN"
"545","doc1051","learn blogging affiliate marketing seo make money online wordpress blogspot email marketing social media marketing codings hindi","marketing","NOUN","Profession",343,NA,"CNN"
"551","doc1052","thru experience sacramento ca","experience","NOUN","Profession",394,NA,"CNN"
"553","doc1052","thru experience sacramento ca","ca","NOUN","Organization",394,NA,"CNN"
"592","doc1059","im year old grandfather socialist wants jeremy corbyn led government way forward","government","NOUN","Profession",2037,NA,"CNN"
"597","doc106","lead people humanitarian way","humanitarian","ADJ","Profession",292,NA,"CNN"
"615","doc1062","future history teacher usaf photojournalist political junkie peanutbutter addicted vegetarian foodie traveler follow blog opinions","teacher","NOUN","Profession",339,NA,"CNN"
"618","doc1062","future history teacher usaf photojournalist political junkie peanutbutter addicted vegetarian foodie traveler follow blog opinions","political","ADJ","Profession",339,NA,"CNN"
"623","doc1062","future history teacher usaf photojournalist political junkie peanutbutter addicted vegetarian foodie traveler follow blog opinions","foodie","NOUN","Personality",339,NA,"CNN"
"670","doc1069","former air traffic controller broadway birding men lsu tiger fan","traffic","NOUN","Profession",446,NA,"CNN"
"671","doc1069","former air traffic controller broadway birding men lsu tiger fan","controller","NOUN","Profession",446,NA,"CNN"
"673","doc1069","former air traffic controller broadway birding men lsu tiger fan","birding","VERB","Hobbies",446,NA,"CNN"
"697","doc1073","scholar american security project us foreign policy national security nukes multilateralism human rights author faces power books","security","NOUN","Profession",449,NA,"CNN"
"698","doc1073","scholar american security project us foreign policy national security nukes multilateralism human rights author faces power books","project","NOUN","Profession",449,NA,"CNN"
"703","doc1073","scholar american security project us foreign policy national security nukes multilateralism human rights author faces power books","security","NOUN","Profession",449,NA,"CNN"
"708","doc1073","scholar american security project us foreign policy national security nukes multilateralism human rights author faces power books","author","NOUN","Profession",449,NA,"CNN"
"727","doc1076","athlete tdewitt taylor middlehigh love hunting fishing country music genesis corinthians volleyballufdsoftballufeofb","athlete","ADP","Profession",1148,NA,"CNN"
"732","doc1076","athlete tdewitt taylor middlehigh love hunting fishing country music genesis corinthians volleyballufdsoftballufeofb","hunting","VERB","Hobbies",1148,NA,"CNN"
"733","doc1076","athlete tdewitt taylor middlehigh love hunting fishing country music genesis corinthians volleyballufdsoftballufeofb","fishing","VERB","Hobbies",1148,NA,"CNN"
"735","doc1076","athlete tdewitt taylor middlehigh love hunting fishing country music genesis corinthians volleyballufdsoftballufeofb","music","NOUN","Hobbies",1148,NA,"CNN"
"756","doc1078","hard working loafer loving life hating trump supportive coups latin america","loving","ADJ","Personality",319,NA,"CNN"
"760","doc1078","hard working loafer loving life hating trump supportive coups latin america","supportive","ADJ","Personality",319,NA,"CNN"
"801","doc1082","current security director rocketberlin former sun microsystems oracle tweets","security","NOUN","Profession",867,NA,"CNN"
"802","doc1082","current security director rocketberlin former sun microsystems oracle tweets","director","NOUN","Profession",867,NA,"CNN"
"807","doc1082","current security director rocketberlin former sun microsystems oracle tweets","oracle","ADJ","Organization",867,NA,"CNN"
"813","doc1083","friends dont use twitter correspondence just post random thoughts can reached via email mpl","twitter","NOUN","Organization",616,NA,"CNN"
"837","doc1085","retired many year lifelong democrat interest seeing current administration office day longer","office","NOUN","Profession",430,NA,"CNN"
"848","doc1088","history science car culture politics classic rock country hiphoprap technology business finance space news world news","politics","NOUN","Hobbies",680,NA,"CNN"
"853","doc1088","history science car culture politics classic rock country hiphoprap technology business finance space news world news","technology","NOUN","Profession",680,NA,"CNN"
"854","doc1088","history science car culture politics classic rock country hiphoprap technology business finance space news world news","business","NOUN","Profession",680,NA,"CNN"
"855","doc1088","history science car culture politics classic rock country hiphoprap technology business finance space news world news","finance","NOUN","Profession",680,NA,"CNN"
"874","doc109","videos reports capturing essence greek american community","community","NOUN","Profession",469,NA,"CNN"
"877","doc1090","best vintage college sports pop culture memories revived softest best fitting gear call us toll free retrobrand","college","NOUN","Profession",1555,NA,"CNN"
"878","doc1090","best vintage college sports pop culture memories revived softest best fitting gear call us toll free retrobrand","sports","NOUN","Hobbies",1555,NA,"CNN"
"894","doc1091","julie dahlstrom clinical associate professor bulaw teaches areas immigration human trafficking genderbased violence","clinical","ADJ","Profession",384,NA,"CNN"
"900","doc1091","julie dahlstrom clinical associate professor bulaw teaches areas immigration human trafficking genderbased violence","immigration","NOUN","Profession",384,NA,"CNN"
"910","doc1092","lets heat homeless free vacant commercial spaces can quickly cheaply converted","commercial","ADJ","Profession",251,NA,"CNN"
"921","doc1094","wife mother lawyer passionate humans","lawyer","NOUN","Profession",602,NA,"CNN"
"922","doc1094","wife mother lawyer passionate humans","passionate","NOUN","Personality",602,NA,"CNN"
"933","doc1097","art director analogfolk","director","NOUN","Profession",547,NA,"CNN"
"955","doc11","road trips rock music ufbufb","music","NOUN","Hobbies",1644,NA,"CNN"
"972","doc1100","depressive anxious pyscho whovian spnfamily browncoat nerdfighter general geek introvert","anxious","ADJ","Personality",520,NA,"CNN"
"978","doc1100","depressive anxious pyscho whovian spnfamily browncoat nerdfighter general geek introvert","general","X","Profession",520,NA,"CNN"
"995","doc1102","pasco county development services branch httpstcovgvbewsqn","development","NOUN","Profession",522,NA,"CNN"
"1000","doc1104","music food darth vader nothing toronto streets good book swim cant fix ozymandias incarnatemaybe","music","NOUN","Hobbies",293,NA,"CNN"
"1001","doc1104","music food darth vader nothing toronto streets good book swim cant fix ozymandias incarnatemaybe","food","NOUN","Profession",293,NA,"CNN"
"1007","doc1104","music food darth vader nothing toronto streets good book swim cant fix ozymandias incarnatemaybe","good","ADJ","Personality",293,NA,"CNN"
"1014","doc1105","good good people","good","ADJ","Personality",359,NA,"CNN"
"1015","doc1105","good good people","good","ADJ","Personality",359,NA,"CNN"
"1018","doc1106","j jewish news northern california jewish community newspaper san francisco bay area beyond","jewish","ADJ","Religion",1201,NA,"CNN"
"1022","doc1106","j jewish news northern california jewish community newspaper san francisco bay area beyond","jewish","NOUN","Religion",1201,NA,"CNN"
"1023","doc1106","j jewish news northern california jewish community newspaper san francisco bay area beyond","community","NOUN","Profession",1201,NA,"CNN"
"1056","doc1110","httpstcogjpgqdn warming world media social justice bangradio scopeapparel bsands xxx funlovers","media","NOUN","Profession",1890,NA,"CNN"
"1057","doc1110","httpstcogjpgqdn warming world media social justice bangradio scopeapparel bsands xxx funlovers","social","ADJ","Profession",1890,NA,"CNN"
